source,translation
Billed as {0},Фактурирано како {0}
exact — rounding skipped,точно — заокружувањето прескокнато
Use exact,Користи точно
Apply rounding,Примени заокружување
Exact,Точно
Billed,Фактурирано
* Rounded up to nearest increment,* Заокружено нагоре до најблискиот инкремент
billable,наплатливо
non-billable,ненаплатливо
internal,интерно
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,запрено
running,во тек
paused,паузирано
Add a note...,Додај белешка...
Add entry for yesterday,Додај внес за вчера
Add your first entry,Додај го својот прв внес
Archive,Архивирај
Auto-stop Timer After,Автоматско запирање на мерачот после
Billable,Наплатливо
Billable {0},Наплатливо {0}
Cancel,Откажи
Cannot delete tag — {0} entries use it.,Ознаката не може да се избрише — {0} внесови ја користат.
Category,Категорија
Client,Клиент
Color,Боја
Connection Failed,Поврзувањето не успеа
Connection OK,Поврзувањето успешно
Custom…,Прилагодено…
Daily,Дневно
Daily view,Дневен приказ
Date range,Период
days,денови
Default Entry Type,Стандарден тип на внес
Default Rate,Стандардна саатнина
Default activity type,Стандарден тип на активност
Delete,Избриши
Description,Опис
Dismiss,Отфрли
Do you want to sync all unsynced time entries to ERPNext now?,Дали сакате сега да ги синхронизирате сите несинхронизирани временски внесови во ERPNext?
Duplicate,Дуплирај
Duration,Траење
Edit,Измени
Enable ERPNext bridge,Овозможи ERPNext мост
End time,Време на крај
Entries forwarded,Внесови проследени
Entries older than {0} days are locked. Contact your administrator.,Внесови постари од {0} денови се заклучени. Контактирајте го администраторот.
ERPNext Bridge,ERPNext мост
ERPNext is not installed on this site.,ERPNext не е инсталиран на ова место.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext е достапен и пристапот до временските листови е потврден.
ERPNext site URL,ERPNext URL на местото
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext временски лист {0} за {1} е поднесен — повторна синхронизација блокирана.
ERPNext Timesheet is submitted — re-sync blocked,ERPNext временскиот лист е поднесен — повторна синхронизација блокирана
Est. {0},Проц. {0}
Est. amount,Проц. износ
Every 6 hours,На секои 6 часа
All time,Цело време
This year,Оваа година
Last year,Минатата година
Download CSV,Преземи CSV
Export my data,Извези ги моите податоци
Download all your time entries as CSV.,Преземете ги сите ваши временски внесови како CSV.
Export CSV,Извези CSV
Export successful,Извозот успешен
Failed to forward entries: {0},Проследувањето на внесови не успеа: {0}
Watch Settings,Watch поставки
