source,translation
Billed as {0},{0} ಎಂದು ಬಿಲ್ ಮಾಡಲಾಗಿದೆ
exact — rounding skipped,ನಿಖರ — ರೌಂಡಿಂಗ್ ಬಿಡಲಾಗಿದೆ
Use exact,ನಿಖರ ಬಳಸಿ
Apply rounding,ರೌಂಡಿಂಗ್ ಅನ್ವಯಿಸಿ
Exact,ನಿಖರ
Billed,ಬಿಲ್ ಮಾಡಲಾಗಿದೆ
* Rounded up to nearest increment,* ಹತ್ತಿರದ ಹೆಚ್ಚಳಕ್ಕೆ ರೌಂಡ್ ಅಪ್
billable,ಬಿಲ್ ಮಾಡಬಹುದಾದ
non-billable,ಬಿಲ್ ಮಾಡಲಾಗದ
internal,ಆಂತರಿಕ
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,ನಿಲ್ಲಿಸಲಾಗಿದೆ
running,ಚಾಲನೆಯಲ್ಲಿದೆ
paused,ವಿರಾಮ
Add a note...,ಟಿಪ್ಪಣಿ ಸೇರಿಸಿ...
Add entry for yesterday,ನಿನ್ನೆಗಾಗಿ ಎಂಟ್ರಿ ಸೇರಿಸಿ
Add your first entry,ನಿಮ್ಮ ಮೊದಲ ಎಂಟ್ರಿ ಸೇರಿಸಿ
Archive,ಆರ್ಕೈವ್
Auto-stop Timer After,ಈ ಸಮಯದ ನಂತರ ಟೈಮರ್ ಸ್ವಯಂ-ನಿಲುಗಡೆ
Billable,ಬಿಲ್ ಮಾಡಬಹುದಾದ
Billable {0},ಬಿಲ್ ಮಾಡಬಹುದಾದ {0}
Cancel,ರದ್ದುಮಾಡಿ
Cannot delete tag — {0} entries use it.,ಟ್ಯಾಗ್ ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ — {0} ಎಂಟ್ರಿಗಳು ಇದನ್ನು ಬಳಸುತ್ತವೆ.
Category,ವರ್ಗ
Client,ಕ್ಲೈಂಟ್
Color,ಬಣ್ಣ
Connection Failed,ಸಂಪರ್ಕ ವಿಫಲ
Connection OK,ಸಂಪರ್ಕ ಸರಿ
Custom…,ಕಸ್ಟಮ್…
Daily,ದೈನಿಕ
Daily view,ದೈನಿಕ ನೋಟ
Date range,ದಿನಾಂಕ ವ್ಯಾಪ್ತಿ
days,ದಿನಗಳು
Default Entry Type,ಡೀಫಾಲ್ಟ್ ಎಂಟ್ರಿ ಪ್ರಕಾರ
Default Rate,ಡೀಫಾಲ್ಟ್ ರೇಟ್
Default activity type,ಡೀಫಾಲ್ಟ್ ಚಟುವಟಿಕೆ ಪ್ರಕಾರ
Delete,ಅಳಿಸಿ
Description,ವಿವರಣೆ
Dismiss,ತಳ್ಳಿಹಾಕಿ
Do you want to sync all unsynced time entries to ERPNext now?,ಈಗ ಎಲ್ಲಾ ಸಿಂಕ್ ಆಗದ ಟೈಮ್ ಎಂಟ್ರಿಗಳನ್ನು ERPNext ಗೆ ಸಿಂಕ್ ಮಾಡಬೇಕೇ?
Duplicate,ನಕಲು
Duration,ಅವಧಿ
Edit,ಸಂಪಾದಿಸಿ
Enable ERPNext bridge,ERPNext ಬ್ರಿಡ್ಜ್ ಸಕ್ರಿಯಗೊಳಿಸಿ
End time,ಅಂತಿಮ ಸಮಯ
Entries forwarded,ಎಂಟ್ರಿಗಳು ಫಾರ್ವರ್ಡ್ ಆಗಿವೆ
Entries older than {0} days are locked. Contact your administrator.,{0} ದಿನಗಳಿಗಿಂತ ಹಳೆಯ ಎಂಟ್ರಿಗಳು ಲಾಕ್ ಆಗಿವೆ. ನಿಮ್ಮ ನಿರ್ವಾಹಕರನ್ನು ಸಂಪರ್ಕಿಸಿ.
ERPNext Bridge,ERPNext ಬ್ರಿಡ್ಜ್
ERPNext is not installed on this site.,ಈ ಸೈಟ್‌ನಲ್ಲಿ ERPNext ಸ್ಥಾಪಿಸಲಾಗಿಲ್ಲ.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext ತಲುಪಬಹುದಾಗಿದೆ ಮತ್ತು ಟೈಮ್‌ಶೀಟ್ ಪ್ರವೇಶ ಖಚಿತವಾಗಿದೆ.
ERPNext site URL,ERPNext ಸೈಟ್ URL
