source,translation
"Billed as {0}","Siningil bilang {0}"
"exact — rounding skipped","eksaktong — nilaktawan ang pag-round"
"Use exact","Gamitin ang eksaktong halaga"
"Apply rounding","Ilapat ang pag-round"
Exact,Eksaktong
Billed,Siningil
"* Rounded up to nearest increment","* Ni-round up sa pinakamalapit na yunit"
billable,masisingil
non-billable,hindi masisingil
internal,panloob
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,huminto
running,tumatakbo
paused,naka-pause
"Add a note...","Magdagdag ng tala..."
"Add entry for yesterday","Magdagdag ng entry para sa kahapon"
"Add your first entry","Magdagdag ng unang entry"
Archive,I-archive
"Auto-stop Timer After","Auto-stop ng Timer Pagkatapos ng"
Billable,Masisingil
"Billable {0}","Masisingil {0}"
Cancel,Kanselahin
"Cannot delete tag — {0} entries use it.","Hindi mabura ang tag — {0} na entry ang gumagamit nito."
Category,Kategorya
Client,Kliyente
Color,Kulay
"Connection Failed","Nabigong Kumonekta"
"Connection OK","OK ang Koneksyon"
"Custom…","Pasadya…"
Daily,Araw-araw
"Daily view","Pang-araw na view"
"Date range","Saklaw ng petsa"
days,araw
"Default Entry Type","Default na Uri ng Entry"
"Default Rate","Default na Rate"
"Default activity type","Default na uri ng aktibidad"
Delete,Burahin
Description,Paglalarawan
Dismiss,I-dismiss
"Do you want to sync all unsynced time entries to ERPNext now?","Gusto mo bang i-sync ang lahat ng hindi pa naka-sync na time entry sa ERPNext ngayon?"
Duplicate,I-duplicate
Duration,Tagal
Edit,I-edit
"Enable ERPNext bridge","I-enable ang ERPNext bridge"
"End time","Oras ng pagtatapos"
"Entries forwarded","Nai-forward na mga entry"
"Entries older than {0} days are locked. Contact your administrator.","Ang mga entry na higit sa {0} araw ay naka-lock. Makipag-ugnayan sa iyong administrator."
"ERPNext Bridge","ERPNext Bridge"
"ERPNext is not installed on this site.","Hindi naka-install ang ERPNext sa site na ito."
"ERPNext is reachable and Timesheet access is confirmed.","Naabot ang ERPNext at nakumpirma ang access sa Timesheet."
"ERPNext site URL","URL ng ERPNext site"
"ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.","Ang ERPNext Timesheet {0} para sa {1} ay nai-submit na — naka-block ang re-sync."
"ERPNext Timesheet is submitted — re-sync blocked","Nai-submit na ang ERPNext Timesheet — naka-block ang re-sync"
"Est. {0}","Tinatayang {0}"
"Est. amount","Tinatayang halaga"
"Every 6 hours","Bawat 6 na oras"
"All time","Lahat ng panahon"
"This year","Ngayong taon"
"Last year","Nakaraang taon"
"Download CSV","I-download ang CSV"
"Export my data","I-export ang aking data"
"Download all your time entries as CSV.","I-download ang lahat ng iyong time entry bilang CSV."
"Export CSV","I-export ang CSV"
"Export successful","Matagumpay na nai-export"
"Failed to forward entries: {0}","Nabigong i-forward ang mga entry: {0}"
"Watch Settings","Mga Setting ng Watch"
"Watch Tag","Watch Tag"
"Watch Entry","Watch Entry"
"Watch Entry Tag","Watch Entry Tag"
"Watch Timer","Watch Timer"
"Forwarded {0} to {1}","Ni-forward ang {0} sa {1}"
From,Mula
General,Pangkalahatan
Hourly,Bawat oras
hours,oras
"Hide weekends","Itago ang weekends"
Internal,Panloob
"Internal / overhead","Panloob / overhead"
"Last bulk sync","Huling bulk sync"
"Last month","Nakaraang buwan"
"Last sync error","Huling error sa sync"
"Last week","Nakaraang linggo"
Less,Mas kaunti
"Lock Entries Older Than","I-lock ang Mga Entry na Mas Luma Sa"
Manual,Manual
"Map project tags","I-map ang mga project tag"
Merge,Pagsamahin
"Merge {0} into:","Pagsamahin ang {0} sa:"
Mon,Lun
More,Higit pa
Navigate,Mag-navigate
"New Tag","Bagong Tag"
"No entries for {0}","Walang entry para sa {0}"
"No entries yet","Wala pang entry"
"No tags yet","Wala pang tag"
"No timer is running","Walang tumatakbong timer"
Non-billable,Hindi Masisingil
"(no description)","(walang paglalarawan)"
"(not billed)","(hindi pa siningil)"
"Nothing logged yesterday ({0})","Walang naitala kahapon ({0})"
"Open prepare summary","Buksan ang buod ng paghahanda"
"Open settings","Buksan ang mga setting"
"Open tag management","Buksan ang pamamahala ng tag"
"Open today's view","Buksan ang view para ngayon"
"Open weekly view","Buksan ang lingguhang view"
Other,Iba pa
Pause,I-pause
Prepare,Ihanda
"Prepare Summary","Buod ng Paghahanda"
Project,Proyekto
Rate,Rate
Rename,Palitan ang pangalan
Resume,Ituloy
"Saved — {0}","Nai-save — {0}"
Save,I-save
Sat,Sab
Scheduled,Naka-iskedyul
Send,Ipadala
Settings,Mga Setting
"Show weekends","Ipakita ang weekends"
"Start time","Oras ng simula"
"Start Timer","Simulan ang Timer"
"Start timer: ""{0}""","Simulan ang timer: ""{0}"""
"Stop current & start: ""{0}""","Itigil ang kasalukuyan at simulan: ""{0}"""
"Started yesterday","Nagsimula kahapon"
Sun,Lin
"Sync all unsynced entries","I-sync ang lahat ng hindi pa naka-sync na entry"
"Sync billable entries only","I-sync lang ang mga masisingil na entry"
"Sync completed with errors","Natapos ang sync na may mga error"
"Sync complete","Kumpleto na ang sync"
"Sync interval","Agwat ng sync"
"Sync mode","Mode ng sync"
"Synced to ERPNext","Naka-sync na sa ERPNext"
"Syncing entries to ERPNext…","Sine-sync ang mga entry sa ERPNext…"
"{0} day(s) synced.","{0} araw ang nai-sync."
Tag,Tag
"Tag management","Pamamahala ng tag"
"Tag Name","Pangalan ng Tag"
"Tag renamed. {0} entries updated.","Napalitan ang pangalan ng tag. {0} entry ang na-update."
Tags,Mga Tag
