source,translation
Billed as {0},Regjistruar si {0}
exact — rounding skipped,saktë — rrumbullakimi u kapërcye
Use exact,Përdor saktë
Apply rounding,Apliko rrumbullakimin
Exact,Saktë
Billed,Regjistruar
* Rounded up to nearest increment,* Rrumbullakuar lart në inkrementin më të afërt
billable,e tarifueshme
non-billable,e patarifueshme
internal,e brendshme
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,ndalur
running,në punë
paused,në pauzë
Add a note...,Shto një shënim...
Add entry for yesterday,Shto regjistrim për dje
Add your first entry,Shto regjistrimin tënd të parë
Archive,Arkivo
Auto-stop Timer After,Ndalo automatikisht matësin pas
Billable,E tarifueshme
Billable {0},E tarifueshme {0}
Cancel,Anulo
Cannot delete tag — {0} entries use it.,Etiketa nuk mund të fshihet — {0} regjistrime e përdorin.
Category,Kategoria
Client,Klienti
Color,Ngjyra
Connection Failed,Lidhja dështoi
Connection OK,Lidhja në rregull
Custom…,E personalizuar…
Daily,Ditore
Daily view,Pamje ditore
Date range,Periudha e datës
days,ditë
Default Entry Type,Lloji i parazgjedhur i regjistrimit
Default Rate,Tarifa e parazgjedhur
Default activity type,Lloji i parazgjedhur i aktivitetit
Delete,Fshi
Description,Përshkrimi
Dismiss,Hiq
Do you want to sync all unsynced time entries to ERPNext now?,Dëshironi t'i sinkronizoni tani të gjitha regjistrimet kohore të pasinkronizuara në ERPNext?
Duplicate,Dupliko
Duration,Kohëzgjatja
Edit,Ndrysho
Enable ERPNext bridge,Aktivizo urën ERPNext
End time,Koha e përfundimit
Entries forwarded,Regjistrimet u përcollën
Entries older than {0} days are locked. Contact your administrator.,Regjistrimet më të vjetra se {0} ditë janë të kyçura. Kontaktoni administratorin tuaj.
ERPNext Bridge,Ura ERPNext
ERPNext is not installed on this site.,ERPNext nuk është i instaluar në këtë faqe.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext është i arritshëm dhe qasja te fletët kohore është konfirmuar.
ERPNext site URL,URL-ja e faqes ERPNext
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,Fleta kohore ERPNext {0} për {1} është dorëzuar — ri-sinkronizimi i bllokuar.
ERPNext Timesheet is submitted — re-sync blocked,Fleta kohore ERPNext është dorëzuar — ri-sinkronizimi i bllokuar
Est. {0},Vler. {0}
Est. amount,Vler. shuma
Every 6 hours,Çdo 6 orë
All time,Gjithë kohës
This year,Këtë vit
Last year,Vitin e kaluar
Download CSV,Shkarko CSV
Export my data,Eksporto të dhënat e mia
Download all your time entries as CSV.,Shkarkoni të gjitha regjistrimet tuaja kohore si CSV.
Export CSV,Eksporto CSV
Export successful,Eksportimi i suksesshëm
Failed to forward entries: {0},Përcjellja e regjistrimeve dështoi: {0}
Watch Settings,Watch cilësimet
Watch Tag,Watch etiketë
Watch Entry,Watch regjistrim
Watch Entry Tag,Watch etiketë regjistrimi
Watch Timer,Watch matës
Forwarded {0} to {1},Përcjellë {0} te {1}
From,Nga
General,Të përgjithshme
Hourly,Çdo orë
hours,orë
Hide weekends,Fshih fundjavët
Internal,E brendshme
Internal / overhead,E brendshme / shpenzime të përgjithshme
Last bulk sync,Sinkronizimi i fundit masiv
Last month,Muajin e kaluar
Last sync error,Gabimi i fundit i sinkronizimit
Last week,Javën e kaluar
Less,Më pak
Lock Entries Older Than,Kyç regjistrimet më të vjetra se
Manual,Manualisht
Map project tags,Harto etiketat e projektit
Merge,Bashko
Merge {0} into:,Bashko {0} në:
Mon,Hën
More,Më shumë
Navigate,Navigo
New Tag,Etiketë e re
No entries for {0},Asnjë regjistrim për {0}
No entries yet,Ende asnjë regjistrim
No tags yet,Ende asnjë etiketë
No timer is running,Asnjë matës nuk është aktiv
Non-billable,E patarifueshme
