source,translation
Billed as {0},{0} হিসেবে বিল করা হয়েছে
exact — rounding skipped,সঠিক — রাউন্ডিং এড়ানো হয়েছে
Use exact,সঠিক ব্যবহার করুন
Apply rounding,রাউন্ডিং প্রয়োগ করুন
Exact,সঠিক
Billed,বিল করা হয়েছে
* Rounded up to nearest increment,* নিকটতম ইনক্রিমেন্টে রাউন্ড আপ করা হয়েছে
billable,বিলযোগ্য
non-billable,বিলযোগ্য নয়
internal,অভ্যন্তরীণ
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,বন্ধ
running,চলছে
paused,বিরতি
Add a note...,একটি নোট যোগ করুন...
Add entry for yesterday,গতকালের জন্য এন্ট্রি যোগ করুন
Add your first entry,আপনার প্রথম এন্ট্রি যোগ করুন
Archive,আর্কাইভ
Auto-stop Timer After,এত সময় পর টাইমার স্বয়ংক্রিয়ভাবে বন্ধ
Billable,বিলযোগ্য
Billable {0},বিলযোগ্য {0}
Cancel,বাতিল
Cannot delete tag — {0} entries use it.,ট্যাগ মুছতে পারবেন না — {0}টি এন্ট্রি এটি ব্যবহার করছে।
Category,বিভাগ
Client,ক্লায়েন্ট
Color,রঙ
Connection Failed,সংযোগ ব্যর্থ
Connection OK,সংযোগ ঠিক আছে
Custom…,কাস্টম…
Daily,দৈনিক
Daily view,দৈনিক দৃশ্য
Date range,তারিখের পরিসর
days,দিন
Default Entry Type,ডিফল্ট এন্ট্রি ধরন
Default Rate,ডিফল্ট রেট
Default activity type,ডিফল্ট কার্যকলাপের ধরন
Delete,মুছুন
Description,বিবরণ
Dismiss,খারিজ
Do you want to sync all unsynced time entries to ERPNext now?,আপনি কি এখন সমস্ত আনসিঙ্ক করা টাইম এন্ট্রি ERPNext-এ সিঙ্ক করতে চান?
Duplicate,ডুপ্লিকেট
Duration,সময়কাল
Edit,সম্পাদনা
Enable ERPNext bridge,ERPNext ব্রিজ সক্রিয় করুন
End time,শেষ সময়
Entries forwarded,এন্ট্রি ফরোয়ার্ড করা হয়েছে
Entries older than {0} days are locked. Contact your administrator.,{0} দিনের পুরানো এন্ট্রি লক করা আছে। আপনার প্রশাসকের সাথে যোগাযোগ করুন।
ERPNext Bridge,ERPNext ব্রিজ
ERPNext is not installed on this site.,এই সাইটে ERPNext ইনস্টল করা নেই।
ERPNext is reachable and Timesheet access is confirmed.,ERPNext অ্যাক্সেসযোগ্য এবং টাইমশিট অ্যাক্সেস নিশ্চিত করা হয়েছে।
ERPNext site URL,ERPNext সাইট URL
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext টাইমশিট {0} ({1}-এর জন্য) জমা দেওয়া হয়েছে — পুনরায় সিঙ্ক ব্লক করা হয়েছে।
ERPNext Timesheet is submitted — re-sync blocked,ERPNext টাইমশিট জমা দেওয়া হয়েছে — পুনরায় সিঙ্ক ব্লক করা হয়েছে
Est. {0},আনু. {0}
Est. amount,আনু. পরিমাণ
Every 6 hours,প্রতি ৬ ঘণ্টায়
All time,সর্বকালীন
This year,এই বছর
Last year,গত বছর
Download CSV,CSV ডাউনলোড করুন
Export my data,আমার ডেটা এক্সপোর্ট করুন
Download all your time entries as CSV.,আপনার সমস্ত টাইম এন্ট্রি CSV হিসেবে ডাউনলোড করুন।
Export CSV,CSV এক্সপোর্ট
Export successful,এক্সপোর্ট সফল
Failed to forward entries: {0},এন্ট্রি ফরোয়ার্ড করতে ব্যর্থ: {0}
