source,translation
Billed as {0},{0} کے طور پر بل کیا گیا
exact — rounding skipped,عین — راؤنڈنگ چھوڑ دی گئی
Use exact,عین استعمال کریں
Apply rounding,راؤنڈنگ لاگو کریں
Exact,عین
Billed,بل کیا گیا
* Rounded up to nearest increment,* قریب ترین اضافے تک راؤنڈ اپ
billable,قابل بل
non-billable,ناقابل بل
internal,اندرونی
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,رکا ہوا
running,چل رہا ہے
paused,موقوف
Add a note...,نوٹ شامل کریں...
Add entry for yesterday,کل کے لیے اندراج شامل کریں
Add your first entry,اپنا پہلا اندراج شامل کریں
Archive,آرکائیو
Auto-stop Timer After,اتنے وقت بعد ٹائمر خودکار طور پر بند کریں
Billable,قابل بل
Billable {0},قابل بل {0}
Cancel,منسوخ کریں
Cannot delete tag — {0} entries use it.,ٹیگ حذف نہیں ہو سکتا — {0} اندراجات اسے استعمال کر رہے ہیں۔
Category,زمرہ
Client,کلائنٹ
Color,رنگ
Connection Failed,کنکشن ناکام
Connection OK,کنکشن ٹھیک ہے
Custom…,حسب ضرورت…
Daily,روزانہ
Daily view,روزانہ نظارہ
Date range,تاریخ کی حد
days,دن
Default Entry Type,طے شدہ اندراج کی قسم
Default Rate,طے شدہ ریٹ
Default activity type,طے شدہ سرگرمی کی قسم
Delete,حذف کریں
Description,تفصیل
Dismiss,خارج کریں
Do you want to sync all unsynced time entries to ERPNext now?,کیا آپ ابھی تمام غیر مطابقت شدہ وقت کے اندراجات کو ERPNext سے مطابقت کرنا چاہتے ہیں؟
Duplicate,نقل
Duration,دورانیہ
Edit,ترمیم
Enable ERPNext bridge,ERPNext بریج فعال کریں
End time,اختتامی وقت
Entries forwarded,اندراجات آگے بھیجے گئے
Entries older than {0} days are locked. Contact your administrator.,{0} دنوں سے پرانے اندراجات مقفل ہیں۔ اپنے منتظم سے رابطہ کریں۔
ERPNext Bridge,ERPNext بریج
ERPNext is not installed on this site.,اس سائٹ پر ERPNext انسٹال نہیں ہے۔
ERPNext is reachable and Timesheet access is confirmed.,ERPNext قابل رسائی ہے اور ٹائم شیٹ رسائی کی تصدیق ہو گئی۔
ERPNext site URL,ERPNext سائٹ URL
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext ٹائم شیٹ {0} ({1} کے لیے) جمع کرائی گئی — دوبارہ مطابقت مسدود۔
ERPNext Timesheet is submitted — re-sync blocked,ERPNext ٹائم شیٹ جمع کرائی گئی — دوبارہ مطابقت مسدود
Est. {0},تخمی. {0}
Est. amount,تخمی. رقم
Every 6 hours,ہر 6 گھنٹے
All time,تمام وقت
This year,اس سال
Last year,گزشتہ سال
Download CSV,CSV ڈاؤن لوڈ کریں
Export my data,میرا ڈیٹا برآمد کریں
Download all your time entries as CSV.,اپنے تمام وقت کے اندراجات CSV کے طور پر ڈاؤن لوڈ کریں۔
Export CSV,CSV برآمد
Export successful,برآمد کامیاب
Failed to forward entries: {0},اندراجات آگے بھیجنے میں ناکام: {0}
Watch Settings,Watch ترتیبات
Watch Tag,Watch ٹیگ
Watch Entry,Watch اندراج
Watch Entry Tag,Watch اندراج ٹیگ
Watch Timer,Watch ٹائمر
Forwarded {0} to {1},{0} کو {1} کی طرف آگے بھیجا گیا
From,سے
General,عمومی
Hourly,فی گھنٹہ
hours,گھنٹے
