source,translation
Billed as {0},Naplaćeno kao {0}
exact — rounding skipped,točno — zaokruživanje preskočeno
Use exact,Koristi točno
Apply rounding,Primijeni zaokruživanje
Exact,Točno
Billed,Naplaćeno
* Rounded up to nearest increment,* Zaokruženo na najbliži inkrement
billable,naplativo
non-billable,nenaplativo
internal,interno
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,zaustavljeno
running,u tijeku
paused,pauzirano
Add a note...,Dodaj bilješku...
Add entry for yesterday,Dodaj unos za jučer
Add your first entry,Dodaj svoj prvi unos
Archive,Arhiviraj
Auto-stop Timer After,Automatsko zaustavljanje mjerača nakon
Billable,Naplativo
Billable {0},Naplativo {0}
Cancel,Odustani
Cannot delete tag — {0} entries use it.,Nije moguće obrisati oznaku — {0} unosa je koristi.
Category,Kategorija
Client,Klijent
Color,Boja
Connection Failed,Povezivanje nije uspjelo
Connection OK,Povezivanje uspješno
Custom…,Prilagođeno…
Daily,Dnevno
Daily view,Dnevni prikaz
Date range,Raspon datuma
days,dana
Default Entry Type,Zadana vrsta unosa
Default Rate,Zadana satnica
Default activity type,Zadana vrsta aktivnosti
Delete,Obriši
Description,Opis
Dismiss,Odbaci
Do you want to sync all unsynced time entries to ERPNext now?,Želite li sada sinkronizirati sve nesinkronizirane vremenske unose u ERPNext?
Duplicate,Dupliciraj
Duration,Trajanje
Edit,Uredi
Enable ERPNext bridge,Omogući ERPNext most
End time,Vrijeme završetka
Entries forwarded,Unosi proslijeđeni
Entries older than {0} days are locked. Contact your administrator.,Unosi stariji od {0} dana su zaključani. Obratite se administratoru.
ERPNext Bridge,ERPNext most
ERPNext is not installed on this site.,ERPNext nije instaliran na ovom mjestu.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext je dostupan i pristup vremenskim listama je potvrđen.
ERPNext site URL,ERPNext URL stranice
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext vremenska lista {0} za {1} je predana — ponovna sinkronizacija blokirana.
ERPNext Timesheet is submitted — re-sync blocked,ERPNext vremenska lista je predana — ponovna sinkronizacija blokirana
Est. {0},Proc. {0}
Est. amount,Proc. iznos
Every 6 hours,Svakih 6 sati
All time,Sve vrijeme
This year,Ova godina
Last year,Prošla godina
Download CSV,Preuzmi CSV
Export my data,Izvezi moje podatke
Download all your time entries as CSV.,Preuzmite sve svoje vremenske unose kao CSV.
Export CSV,Izvezi CSV
