source,translation
"Billed as {0}","እንደ {0} ተከፍሏል"
"exact — rounding skipped","ትክክለኛ — ማጠጋት ተዘለለ"
"Use exact","ትክክለኛ ተጠቀም"
"Apply rounding","ማጠጋት ተግብር"
Exact,ትክክለኛ
Billed,ተከፍሏል
"* Rounded up to nearest increment","* ወደ ቅርቡ ክፍል ተጠጋ"
billable,ሊከፈል የሚችል
non-billable,ሊከፈል የማይችል
internal,ውስጣዊ
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,ቆሟል
running,እየሰራ ነው
paused,ታግዷል
"Add a note...","ማስታወሻ ጨምር..."
"Add entry for yesterday","ለትላንት ግቤት ጨምር"
"Add your first entry","የመጀመሪያ ግቤትህን ጨምር"
Archive,ማህደር
"Auto-stop Timer After","ሰዓት ቆጣሪ በራስ-ሰር ማቆም ከ"
Billable,ሊከፈል የሚችል
"Billable {0}","ሊከፈል የሚችል {0}"
Cancel,ሰርዝ
"Cannot delete tag — {0} entries use it.","መለያ መሰረዝ አይቻልም — {0} ግቤቶች ይጠቀሙበታል።"
Category,ምድብ
Client,ደንበኛ
Color,ቀለም
"Connection Failed","ግንኙነት አልተሳካም"
"Connection OK","ግንኙነት ተሳክቷል"
"Custom…","ብጁ…"
Daily,ዕለታዊ
"Daily view","ዕለታዊ እይታ"
"Date range","የቀን ክልል"
days,ቀናት
"Default Entry Type","ነባሪ የግቤት ዓይነት"
"Default Rate","ነባሪ ተመን"
"Default activity type","ነባሪ የእንቅስቃሴ ዓይነት"
Delete,ሰርዝ
Description,መግለጫ
Dismiss,ዝጋ
"Do you want to sync all unsynced time entries to ERPNext now?","ያልተመሳሰሉ ሁሉንም የሰዓት ግቤቶች ወደ ERPNext አሁን ማመሳሰል ይፈልጋሉ?"
Duplicate,ቅዳ
Duration,ቆይታ
Edit,አርትዕ
"Enable ERPNext bridge","የERPNext ድልድይ አንቃ"
"End time","የማብቂያ ሰዓት"
"Entries forwarded","ግቤቶች ተላልፈዋል"
"Entries older than {0} days are locked. Contact your administrator.","ከ{0} ቀናት የቆዩ ግቤቶች ተቆልፈዋል። አስተዳዳሪዎን ያነጋግሩ።"
"ERPNext Bridge","የERPNext ድልድይ"
"ERPNext is not installed on this site.","ERPNext በዚህ ጣቢያ ላይ አልተጫነም።"
"ERPNext is reachable and Timesheet access is confirmed.","ERPNext ይደርሳል እና የTimesheetመዳረሻ ተረጋግጧል።"
"ERPNext site URL","የERPNext ጣቢያ URL"
"ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.","የERPNext Timesheet {0} ለ{1} ቀርቧል — ድጋሚ ማመሳሰል ታግዷል።"
"ERPNext Timesheet is submitted — re-sync blocked","የERPNext Timesheet ቀርቧል — ድጋሚ ማመሳሰል ታግዷል"
"Est. {0}","ግምት {0}"
"Est. amount","ግምት መጠን"
"Every 6 hours","በየ6 ሰዓቱ"
"All time","ሁሉም ጊዜ"
"This year","ዘንድሮ"
"Last year","ባለፈው ዓመት"
"Download CSV","CSV አውርድ"
"Export my data","ውሂቤን ላክ"
"Download all your time entries as CSV.","ሁሉንም የሰዓት ግቤቶችህን እንደ CSV አውርድ።"
"Export CSV","CSV ላክ"
"Export successful","መላክ ተሳክቷል"
"Failed to forward entries: {0}","ግቤቶችን ማስተላለፍ አልተሳካም: {0}"
"Watch Settings","የWatch ቅንብሮች"
"Watch Tag","የWatch መለያ"
"Watch Entry","የWatch ግቤት"
"Watch Entry Tag","የWatch ግቤት መለያ"
"Watch Timer","የWatch ሰዓት ቆጣሪ"
"Forwarded {0} to {1}","{0} ወደ {1} ተላልፏል"
From,ከ
General,አጠቃላይ
Hourly,በየሰዓቱ
hours,ሰዓታት
"Hide weekends","ቅዳሜ/እሁድ ደብቅ"
Internal,ውስጣዊ
"Internal / overhead","ውስጣዊ / ተጨማሪ ወጪ"
"Last bulk sync","የመጨረሻ የጅምላ ማመሳሰል"
"Last month","ባለፈው ወር"
"Last sync error","የመጨረሻ ማመሳሰል ስህተት"
"Last week","ባለፈው ሳምንት"
Less,ያነሰ
"Lock Entries Older Than","ግቤቶችን ቁልፍ ከ"
Manual,በእጅ
"Map project tags","የፕሮጀክት መለያዎችን አዛምድ"
Merge,አዋህድ
"Merge {0} into:","{0}ን ወደ አዋህድ:"
Mon,ሰኞ
More,ተጨማሪ
Navigate,ዳስስ
"New Tag","አዲስ መለያ"
"No entries for {0}","ለ{0} ግቤት የለም"
"No entries yet","እስካሁን ግቤት የለም"
"No tags yet","እስካሁን መለያ የለም"
"No timer is running","ምንም ሰዓት ቆጣሪ እየሰራ አይደለም"
Non-billable,ሊከፈል የማይችል
"(no description)","(መግለጫ የለም)"
"(not billed)","(አልተከፈለም)"
"Nothing logged yesterday ({0})","ትላንት ({0}) ምንም አልተመዘገበም"
"Open prepare summary","ማዘጋጃ ማጠቃለያ ክፈት"
"Open settings","ቅንብሮች ክፈት"
"Open tag management","መለያ አስተዳደር ክፈት"
"Open today's view","የዛሬ እይታ ክፈት"
"Open weekly view","የሳምንታዊ እይታ ክፈት"
Other,ሌላ
Pause,አቁም
Prepare,ዝግጅት
"Prepare Summary","ማዘጋጃ ማጠቃለያ"
Project,ፕሮጀክት
Rate,ተመን
Rename,ስም ቀይር
Resume,ቀጥል
"Saved — {0}","ተቀምጧል — {0}"
Save,አስቀምጥ
Sat,ቅዳሜ
Scheduled,የተቀጠረ
Send,ላክ
Settings,ቅንብሮች
"Show weekends","ቅዳሜ/እሁድ አሳይ"
"Start time","የመጀመሪያ ሰዓት"
"Start Timer","ሰዓት ቆጣሪ ጀምር"
"Start timer: ""{0}""","ሰዓት ቆጣሪ ጀምር: ""{0}"""
"Stop current & start: ""{0}""","አሁኑን አቁምና ጀምር: ""{0}"""
"Started yesterday","ትላንት ተጀምሯል"
Sun,እሁድ
"Sync all unsynced entries","ያልተመሳሰሉ ሁሉንም ግቤቶች አመሳስል"
"Sync billable entries only","ሊከፈሉ የሚችሉ ግቤቶችን ብቻ አመሳስል"
"Sync completed with errors","ማመሳሰል በስህተቶች ተጠናቋል"
"Sync complete","ማመሳሰል ተጠናቋል"
"Sync interval","የማመሳሰል ክፍተት"
"Sync mode","የማመሳሰል ሁነታ"
"Synced to ERPNext","ወደ ERPNext ተመሳስሏል"
"Syncing entries to ERPNext…","ግቤቶችን ወደ ERPNext በማመሳሰል ላይ…"
"{0} day(s) synced.","{0} ቀን(ቶች) ተመሳስለዋል።"
Tag,መለያ
"Tag management","መለያ አስተዳደር"
"Tag Name","የመለያ ስም"
"Tag renamed. {0} entries updated.","መለያ ስሙ ተቀይሯል። {0} ግቤቶች ተዘምነዋል።"
Tags,መለያዎች
"Tags merged. {0} entries re-tagged.","መለያዎች ተዋህደዋል። {0} ግቤቶች ድጋሚ ተሰይመዋል።"
Task,ተግባር
"Test connection","ግንኙነት ሞክር"
"Test Connection","ግንኙነት ሞክር"
"This entry is locked","ይህ ግቤት ተቆልፏል"
