source,translation
"Billed as {0}","Vyúčtováno jako {0}"
"exact — rounding skipped","přesné — zaokrouhlení přeskočeno"
"Use exact","Použít přesné"
"Apply rounding","Použít zaokrouhlení"
Exact,Přesné
Billed,Vyúčtováno
"* Rounded up to nearest increment","* Zaokrouhleno nahoru na nejbližší interval"
billable,účtovatelné
non-billable,neúčtovatelné
internal,interní
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,zastaveno
running,běží
paused,pozastaveno
"Add a note...","Přidat poznámku..."
"Add entry for yesterday","Přidat záznam za včerejšek"
"Add your first entry","Přidejte svůj první záznam"
Archive,Archivovat
"Auto-stop Timer After","Automaticky zastavit časovač po"
Billable,Účtovatelné
"Billable {0}","Účtovatelné {0}"
Cancel,Zrušit
"Cannot delete tag — {0} entries use it.","Nelze smazat štítek — {0} záznamů ho používá."
Category,Kategorie
Client,Klient
Color,Barva
"Connection Failed","Připojení selhalo"
"Connection OK","Připojení OK"
"Custom…","Vlastní…"
Daily,Denně
"Daily view","Denní zobrazení"
"Date range","Období"
days,dnů
"Default Entry Type","Výchozí typ záznamu"
"Default Rate","Výchozí hodinová sazba"
"Default activity type","Výchozí typ aktivity"
Delete,Smazat
Description,Popis
Dismiss,Zavřít
"Do you want to sync all unsynced time entries to ERPNext now?","Chcete nyní synchronizovat všechny nesynchronizované časové záznamy do ERPNext?"
Duplicate,Duplikovat
Duration,Doba trvání
Edit,Upravit
"Enable ERPNext bridge","Povolit ERPNext most"
"End time","Čas konce"
"Entries forwarded","Záznamy přeposlány"
"Entries older than {0} days are locked. Contact your administrator.","Záznamy starší než {0} dnů jsou uzamčeny. Kontaktujte administrátora."
"ERPNext Bridge","ERPNext most"
"ERPNext is not installed on this site.","ERPNext není na tomto webu nainstalován."
"ERPNext is reachable and Timesheet access is confirmed.","ERPNext je dostupný a přístup k výkazům je potvrzen."
"ERPNext site URL","URL webu ERPNext"
"ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.","ERPNext výkaz {0} pro {1} je odeslaný — opětovná synchronizace blokována."
"ERPNext Timesheet is submitted — re-sync blocked","ERPNext výkaz je odeslaný — opětovná synchronizace blokována"
"Est. {0}","Odh. {0}"
"Est. amount","Odh. částka"
"Every 6 hours","Každých 6 hodin"
"All time","Celé období"
"This year","Tento rok"
"Last year","Minulý rok"
"Download CSV","Stáhnout CSV"
"Export my data","Exportovat moje data"
"Download all your time entries as CSV.","Stáhněte všechny své časové záznamy jako CSV."
"Export CSV","Exportovat CSV"
"Export successful","Export úspěšný"
"Failed to forward entries: {0}","Nepodařilo se přeposlat záznamy: {0}"
"Watch Settings","Nastavení Watch"
"Watch Tag","Watch štítek"
"Watch Entry","Watch záznam"
"Watch Entry Tag","Watch štítek záznamu"
"Watch Timer","Watch časovač"
"Forwarded {0} to {1}","Přeposláno {0} do {1}"
From,Od
General,Obecné
Hourly,Každou hodinu
hours,hodin
"Hide weekends","Skrýt víkendy"
Internal,Interní
"Internal / overhead","Interní / režie"
"Last bulk sync","Poslední hromadná synchronizace"
"Last month","Minulý měsíc"
"Last sync error","Poslední chyba synchronizace"
"Last week","Minulý týden"
Less,Méně
"Lock Entries Older Than","Uzamknout záznamy starší než"
Manual,Manuální
"Map project tags","Mapovat projektové štítky"
Merge,Sloučit
