source,translation
"Billed as {0}","{0} के रूप में दर्ज किया गया"
"exact — rounding skipped","सटीक — राउंडिंग छोड़ी गई"
"Use exact","सटीक उपयोग करें"
"Apply rounding","राउंडिंग लागू करें"
Exact,सटीक
Billed,दर्ज किया गया
"* Rounded up to nearest increment","* निकटतम इकाई तक राउंड अप किया गया"
billable,शुल्क योग्य
non-billable,शुल्क अयोग्य
internal,आंतरिक
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,रुका हुआ
running,चालू
paused,विराम
"Add a note...","नोट जोड़ें..."
"Add entry for yesterday","कल की प्रविष्टि जोड़ें"
"Add your first entry","अपनी पहली प्रविष्टि जोड़ें"
Archive,संग्रह
"Auto-stop Timer After","टाइमर स्वतः बंद समय"
Billable,शुल्क योग्य
"Billable {0}","शुल्क योग्य {0}"
Cancel,रद्द करें
"Cannot delete tag — {0} entries use it.","टैग हटाया नहीं जा सकता — {0} प्रविष्टियाँ इसका उपयोग कर रही हैं।"
Category,श्रेणी
Client,ग्राहक
Color,रंग
"Connection Failed","कनेक्शन विफल"
"Connection OK","कनेक्शन ठीक"
"Custom…","कस्टम…"
Daily,दैनिक
"Daily view","दैनिक दृश्य"
"Date range","तिथि सीमा"
days,दिन
"Default Entry Type","डिफ़ॉल्ट प्रविष्टि प्रकार"
"Default Rate","डिफ़ॉल्ट दर"
"Default activity type","डिफ़ॉल्ट गतिविधि प्रकार"
Delete,हटाएं
Description,विवरण
Dismiss,खारिज करें
"Do you want to sync all unsynced time entries to ERPNext now?","क्या आप अभी सभी असिंक्ड समय प्रविष्टियों को ERPNext में सिंक करना चाहते हैं?"
Duplicate,डुप्लिकेट
Duration,अवधि
Edit,संपादित करें
"Enable ERPNext bridge","ERPNext ब्रिज सक्षम करें"
"End time","समाप्ति समय"
"Entries forwarded","प्रविष्टियाँ अग्रेषित"
"Entries older than {0} days are locked. Contact your administrator.","{0} दिन से पुरानी प्रविष्टियाँ लॉक हैं। अपने व्यवस्थापक से संपर्क करें।"
"ERPNext Bridge","ERPNext ब्रिज"
"ERPNext is not installed on this site.","इस साइट पर ERPNext इंस्टॉल नहीं है।"
"ERPNext is reachable and Timesheet access is confirmed.","ERPNext उपलब्ध है और टाइमशीट एक्सेस की पुष्टि हो गई है।"
"ERPNext site URL","ERPNext साइट URL"
"ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.","ERPNext टाइमशीट {0} ({1}) सबमिट हो चुकी है — पुनः सिंक अवरुद्ध।"
