source,translation
Billed as {0},Учтено как {0}
exact — rounding skipped,точно — округление пропущено
Use exact,Использовать точное
Apply rounding,Применить округление
Exact,Точно
Billed,Учтено
* Rounded up to nearest increment,* Округлено до ближайшего приращения
billable,оплачиваемое
non-billable,неоплачиваемое
internal,внутреннее
on_save,on_save
manual,вручную
scheduled,по расписанию
hourly,ежечасно
every_6_hours,every_6_hours
daily,ежедневно
stopped,остановлен
running,работает
paused,на паузе
Add a note...,Добавить заметку...
Add entry for yesterday,Добавить запись за вчера
Add your first entry,Добавьте свою первую запись
Archive,Архивировать
Auto-stop Timer After,Автоматически остановить таймер через
Billable,Оплачиваемое
Billable {0},Оплачиваемое {0}
Cancel,Отмена
Cannot delete tag — {0} entries use it.,Невозможно удалить тег — его используют {0} записей.
Category,Категория
Client,Клиент
Color,Цвет
Connection Failed,Соединение не удалось
Connection OK,Соединение установлено
Custom…,Настраиваемый…
Daily,Ежедневно
Daily view,Дневной вид
Date range,Диапазон дат
days,дней
Default Entry Type,Тип записи по умолчанию
Default Rate,Ставка по умолчанию
Default activity type,Тип деятельности по умолчанию
Delete,Удалить
Description,Описание
Dismiss,Отклонить
Do you want to sync all unsynced time entries to ERPNext now?,Хотите синхронизировать все несинхронизированные записи времени с ERPNext сейчас?
Duplicate,Дублировать
Duration,Длительность
Edit,Редактировать
Enable ERPNext bridge,Включить мост ERPNext
End time,Время окончания
Entries forwarded,Записи переданы
Entries older than {0} days are locked. Contact your administrator.,Записи старше {0} дней заблокированы. Обратитесь к администратору.
ERPNext Bridge,Мост ERPNext
ERPNext is not installed on this site.,ERPNext не установлен на этом сайте.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext доступен и доступ к табелю подтверждён.
ERPNext site URL,URL сайта ERPNext
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,Табель ERPNext {0} для {1} отправлен — повторная синхронизация заблокирована.
ERPNext Timesheet is submitted — re-sync blocked,Табель ERPNext отправлен — повторная синхронизация заблокирована
Est. {0},Расч. {0}
Est. amount,Расч. сумма
Every 6 hours,Каждые 6 часов
All time,За всё время
This year,В этом году
Last year,В прошлом году
Download CSV,Скачать CSV
Export my data,Экспортировать мои данные
Download all your time entries as CSV.,Скачайте все ваши записи времени в формате CSV.
Export CSV,Экспорт CSV
Export successful,Экспорт выполнен успешно
Failed to forward entries: {0},Не удалось передать записи: {0}
Watch Settings,Настройки Watch
Watch Tag,Тег Watch
Watch Entry,Запись Watch
Watch Entry Tag,Тег записи Watch
Watch Timer,Таймер Watch
Forwarded {0} to {1},{0} передано в {1}
From,С
General,Общие
Hourly,Ежечасно
hours,часов
Hide weekends,Скрыть выходные
Internal,Внутреннее
Internal / overhead,Внутреннее / накладные
Last bulk sync,Последняя массовая синхронизация
Last month,Прошлый месяц
Last sync error,Последняя ошибка синхронизации
Last week,Прошлая неделя
Less,Меньше
Lock Entries Older Than,Блокировать записи старше
Manual,Вручную
Map project tags,Сопоставить теги проектов
Merge,Объединить
Merge {0} into:,Объединить {0} в:
Mon,Пн
More,Ещё
Navigate,Навигация
New Tag,Новый тег
No entries for {0},Нет записей за {0}
No entries yet,Пока нет записей
No tags yet,Пока нет тегов
No timer is running,Нет запущенного таймера
Non-billable,Неоплачиваемое
(no description),(без описания)
(not billed),(не учтено)
Nothing logged yesterday ({0}),Ничего не записано вчера ({0})
Open prepare summary,Открыть сводку подготовки
Open settings,Открыть настройки
Open tag management,Открыть управление тегами
Open today's view,Открыть вид за сегодня
Open weekly view,Открыть недельный вид
Other,Другое
Pause,Пауза
Prepare,Подготовить
Prepare Summary,Сводка подготовки
