source,translation
Billed as {0},{0} ලෙස බිල් කරන ලදී
exact — rounding skipped,නිවැරදි — වට කිරීම මග හැරිණි
Use exact,නිවැරදි භාවිතා කරන්න
Apply rounding,වට කිරීම යොදන්න
Exact,නිවැරදි
Billed,බිල් කරන ලදී
* Rounded up to nearest increment,* ළඟම වර්ධනයට වට කරන ලදී
billable,බිල් කළ හැකි
non-billable,බිල් කළ නොහැකි
internal,අභ්‍යන්තර
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,නවතා ඇත
running,ක්‍රියාත්මකයි
paused,විරාමයි
Add a note...,සටහනක් එක් කරන්න...
Add entry for yesterday,ඊයේ සඳහා ඇතුළත් කිරීමක් එක් කරන්න
Add your first entry,ඔබේ පළමු ඇතුළත් කිරීම එක් කරන්න
Archive,සංරක්ෂිතය
Auto-stop Timer After,මෙතෙක් කාලයකින් පසු ටයිමරය ස්වයංක්‍රීයව නවතන්න
Billable,බිල් කළ හැකි
Billable {0},බිල් කළ හැකි {0}
Cancel,අවලංගු කරන්න
Cannot delete tag — {0} entries use it.,ටැගය මකා දැමිය නොහැක — ඇතුළත් කිරීම් {0}ක් එය භාවිතා කරයි.
Category,ප්‍රවර්ගය
Client,සේවාදායකයා
Color,වර්ණය
Connection Failed,සම්බන්ධතාවය අසාර්ථකයි
Connection OK,සම්බන්ධතාවය හරි
Custom…,අභිරුචි…
Daily,දෛනික
Daily view,දෛනික දසුන
Date range,දිනයන් පරාසය
days,දින
Default Entry Type,පෙරනිමි ඇතුළත් කිරීම් වර්ගය
Default Rate,පෙරනිමි අනුපාතය
Default activity type,පෙරනිමි ක්‍රියාකාරකම් වර්ගය
Delete,මකන්න
Description,විස්තරය
Dismiss,ඉවත් කරන්න
Do you want to sync all unsynced time entries to ERPNext now?,සමමුහුර්ත නොකළ සියලුම කාල ඇතුළත් කිරීම් දැන් ERPNext වෙත සමමුහුර්ත කරන්නද?
Duplicate,අනුපිටපත
Duration,කාලසීමාව
Edit,සංස්කරණය
Enable ERPNext bridge,ERPNext පාලම සක්‍රීය කරන්න
End time,අවසන් වේලාව
Entries forwarded,ඇතුළත් කිරීම් යොමු කරන ලදී
Entries older than {0} days are locked. Contact your administrator.,දින {0}ට වඩා පැරණි ඇතුළත් කිරීම් අගුලු දමා ඇත. ඔබේ පරිපාලක සම්බන්ධ කරගන්න.
ERPNext Bridge,ERPNext පාලම
ERPNext is not installed on this site.,මෙම අඩවියේ ERPNext ස්ථාපනය කර නැත.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext ලබාගත හැකි අතර කාලපත්‍ර ප්‍රවේශය තහවුරු වී ඇත.
ERPNext site URL,ERPNext අඩවි URL
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext කාලපත්‍රය {0} ({1} සඳහා) ඉදිරිපත් කර ඇත — නැවත සමමුහුර්ත කිරීම අවහිරයි.
ERPNext Timesheet is submitted — re-sync blocked,ERPNext කාලපත්‍රය ඉදිරිපත් කර ඇත — නැවත සමමුහුර්ත කිරීම අවහිරයි
Est. {0},ඇස්. {0}
Est. amount,ඇස්. මුදල
Every 6 hours,සෑම පැය 6කටම
All time,සියලු කාලය
This year,මෙම වර්ෂය
Last year,පසුගිය වර්ෂය
Download CSV,CSV බාගන්න
