source,translation
Billed as {0},Arveldatud kui {0}
exact — rounding skipped,täpne — ümardamine vahele jäetud
Use exact,Kasuta täpset
Apply rounding,Rakenda ümardamine
Exact,Täpne
Billed,Arveldatud
* Rounded up to nearest increment,* Ümardatud ülespoole lähima sammuni
billable,arveldatav
non-billable,mittearveldatav
internal,sisemine
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,peatatud
running,käib
paused,paus
Add a note...,Lisa märkus...
Add entry for yesterday,Lisa eilne kirje
Add your first entry,Lisa oma esimene kirje
Archive,Arhiveeri
Auto-stop Timer After,Peata taimer automaatselt pärast
Billable,Arveldatav
Billable {0},Arveldatav {0}
Cancel,Tühista
Cannot delete tag — {0} entries use it.,Silti ei saa kustutada — {0} kirjet kasutab seda.
Category,Kategooria
Client,Klient
Color,Värv
Connection Failed,Ühendus ebaõnnestus
Connection OK,Ühendus korras
Custom…,Kohandatud…
Daily,Igapäevane
Daily view,Päevavaade
Date range,Kuupäevavahemik
days,päeva
Default Entry Type,Vaikimisi kirje tüüp
Default Rate,Vaikimisi tunnitasu
Default activity type,Vaikimisi tegevuse tüüp
Delete,Kustuta
Description,Kirjeldus
Dismiss,Lõpeta
Do you want to sync all unsynced time entries to ERPNext now?,Kas soovite nüüd kõik sünkroniseerimata ajakirjed ERPNext-i sünkroniseerida?
Duplicate,Dubleeri
Duration,Kestus
Edit,Muuda
Enable ERPNext bridge,Luba ERPNext sild
End time,Lõpuaeg
Entries forwarded,Kirjed edastatud
Entries older than {0} days are locked. Contact your administrator.,Kirjed vanemad kui {0} päeva on lukustatud. Võtke ühendust administraatoriga.
ERPNext Bridge,ERPNext sild
ERPNext is not installed on this site.,ERPNext ei ole sellel saidil installitud.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext on kättesaadav ja ajatabelile juurdepääs on kinnitatud.
ERPNext site URL,ERPNext saidi URL
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext ajatabel {0} kasutajale {1} on esitatud — uuesti sünkroonimine blokeeritud.
ERPNext Timesheet is submitted — re-sync blocked,ERPNext ajatabel on esitatud — uuesti sünkroonimine blokeeritud
Est. {0},Hinn. {0}
Est. amount,Hinn. summa
Every 6 hours,Iga 6 tunni järel
All time,Kogu aeg
This year,See aasta
Last year,Eelmine aasta
Download CSV,Laadi alla CSV
Export my data,Ekspordi minu andmed
Download all your time entries as CSV.,Laadige alla kõik oma ajakirjed CSV-na.
