source,translation
Billed as {0},វិក្កយបត្រជា {0}
exact — rounding skipped,ច្បាស់លាស់ — រំលងការបង្គត់
Use exact,ប្រើច្បាស់លាស់
Apply rounding,អនុវត្តការបង្គត់
Exact,ច្បាស់លាស់
Billed,បានវិក្កយបត្រ
* Rounded up to nearest increment,* បង្គត់ឡើងទៅការកើនឡើងជិតបំផុត
billable,អាចវិក្កយបត្រ
non-billable,មិនអាចវិក្កយបត្រ
internal,ផ្ទៃក្នុង
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,បានបញ្ឈប់
running,កំពុងដំណើរការ
paused,ផ្អាក
Add a note...,បន្ថែមកំណត់សម្គាល់...
Add entry for yesterday,បន្ថែមការបញ្ចូលសម្រាប់ម្សិលមិញ
Add your first entry,បន្ថែមការបញ្ចូលដំបូងរបស់អ្នក
Archive,បណ្ណសារ
Auto-stop Timer After,បញ្ឈប់កម្មវិធីកំណត់ពេលដោយស្វ័យប្រវត្តិបន្ទាប់ពី
Billable,អាចវិក្កយបត្រ
Billable {0},អាចវិក្កយបត្រ {0}
Cancel,បោះបង់
Cannot delete tag — {0} entries use it.,មិនអាចលុបស្លាកបាន — ការបញ្ចូល {0} កំពុងប្រើវា។
Category,ប្រភេទ
Client,អតិថិជន
Color,ពណ៌
Connection Failed,ការតភ្ជាប់បរាជ័យ
Connection OK,ការតភ្ជាប់ល្អ
Custom…,ផ្ទាល់ខ្លួន…
Daily,ប្រចាំថ្ងៃ
Daily view,ទិដ្ឋភាពប្រចាំថ្ងៃ
Date range,ជួរកាលបរិច្ឆេទ
days,ថ្ងៃ
Default Entry Type,ប្រភេទការបញ្ចូលលំនាំដើម
Default Rate,អត្រាលំនាំដើម
Default activity type,ប្រភេទសកម្មភាពលំនាំដើម
Delete,លុប
Description,ការពិពណ៌នា
Dismiss,បដិសេធ
Do you want to sync all unsynced time entries to ERPNext now?,តើអ្នកចង់ធ្វើសមកាលកម្មការបញ្ចូលពេលវេលាដែលមិនទាន់ធ្វើសមកាលកម្មទាំងអស់ទៅ ERPNext ឥឡូវនេះទេ?
Duplicate,ស្ទួន
Duration,រយៈពេល
Edit,កែសម្រួល
Enable ERPNext bridge,បើកស្ពាន ERPNext
End time,ពេលវេលាបញ្ចប់
Entries forwarded,ការបញ្ចូលត្រូវបានបញ្ជូន
Entries older than {0} days are locked. Contact your administrator.,ការបញ្ចូលចាស់ជាង {0} ថ្ងៃត្រូវបានចាក់សោ។ ទាក់ទងអ្នកគ្រប់គ្រងរបស់អ្នក។
ERPNext Bridge,ស្ពាន ERPNext
ERPNext is not installed on this site.,ERPNext មិនត្រូវបានដំឡើងនៅលើគេហទំព័រនេះទេ។
ERPNext is reachable and Timesheet access is confirmed.,ERPNext អាចទាក់ទងបាន ហើយការចូលប្រើតារាងពេលវេលាត្រូវបានបញ្ជាក់។
ERPNext site URL,URL គេហទំព័រ ERPNext
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,តារាងពេលវេលា ERPNext {0} (សម្រាប់ {1}) ត្រូវបានដាក់ស្នើ — ការធ្វើសមកាលកម្មឡើងវិញត្រូវបានរារាំង។
ERPNext Timesheet is submitted — re-sync blocked,តារាងពេលវេលា ERPNext ត្រូវបានដាក់ស្នើ — ការធ្វើសមកាលកម្មឡើងវិញត្រូវបានរារាំង
Est. {0},ប៉ា. {0}
Est. amount,ប៉ា. ចំនួន
Every 6 hours,រៀងរាល់ ៦ ម៉ោង
All time,គ្រប់ពេល
This year,ឆ្នាំនេះ
Last year,ឆ្នាំមុន
Download CSV,ទាញយក CSV
Export my data,នាំចេញទិន្នន័យរបស់ខ្ញុំ
Download all your time entries as CSV.,ទាញយកការបញ្ចូលពេលវេលាទាំងអស់របស់អ្នកជា CSV។
Export CSV,នាំចេញ CSV
Export successful,ការនាំចេញជោគជ័យ
Failed to forward entries: {0},បរាជ័យក្នុងការបញ្ជូនការបញ្ចូល: {0}
Watch Settings,ការកំណត់ Watch
Watch Tag,ស្លាក Watch
Watch Entry,ការបញ្ចូល Watch
Watch Entry Tag,ស្លាកការបញ្ចូល Watch
Watch Timer,កម្មវិធីកំណត់ពេល Watch
Forwarded {0} to {1},{0} ត្រូវបានបញ្ជូនទៅ {1}
From,ពី
General,ទូទៅ
Hourly,ប្រចាំម៉ោង
hours,ម៉ោង
Hide weekends,លាក់ចុងសប្តាហ៍
Internal,ផ្ទៃក្នុង
Internal / overhead,ផ្ទៃក្នុង / ថ្លៃលើស
Last bulk sync,ការធ្វើសមកាលកម្មជាក្រុមចុងក្រោយ
Last month,ខែមុន
Last sync error,កំហុសធ្វើសមកាលកម្មចុងក្រោយ
Last week,សប្តាហ៍មុន
Less,តិច
Lock Entries Older Than,ចាក់សោការបញ្ចូលចាស់ជាង
Manual,ដោយដៃ
Map project tags,ផែនទីស្លាកគម្រោង
Merge,បញ្ចូលគ្នា
Merge {0} into:,បញ្ចូល {0} គ្នា:
Mon,ច័ន្ទ
More,ច្រើនទៀត
Navigate,រុករក
New Tag,ស្លាកថ្មី
No entries for {0},គ្មានការបញ្ចូលសម្រាប់ {0}
No entries yet,មិនទាន់មានការបញ្ចូល
No tags yet,មិនទាន់មានស្លាក
No timer is running,គ្មានកម្មវិធីកំណត់ពេលកំពុងដំណើរការ
Non-billable,មិនអាចវិក្កយបត្រ
(no description),(គ្មានការពិពណ៌នា)
(not billed),(មិនបានវិក្កយបត្រ)
Nothing logged yesterday ({0}),ម្សិលមិញគ្មានអ្វីត្រូវបានកត់ត្រា ({0})
Open prepare summary,បើកសង្ខេបការរៀបចំ
Open settings,បើកការកំណត់
Open tag management,បើកការគ្រប់គ្រងស្លាក
Open today's view,បើកទិដ្ឋភាពថ្ងៃនេះ
Open weekly view,បើកទិដ្ឋភាពប្រចាំសប្តាហ៍
Other,ផ្សេងទៀត
Pause,ផ្អាក
Prepare,រៀបចំ
Prepare Summary,សង្ខេបការរៀបចំ
Project,គម្រោង
Rate,អត្រា
Rename,ប្ដូរឈ្មោះ
Resume,បន្តដំណើរការ
Saved — {0},បានរក្សាទុក — {0}
Save,រក្សាទុក
Sat,សៅរ៍
Scheduled,គ្រោងទុក
Send,ផ្ញើ
Settings,ការកំណត់
Show weekends,បង្ហាញចុងសប្តាហ៍
Start time,ពេលវេលាចាប់ផ្ដើម
Start Timer,ចាប់ផ្ដើមកម្មវិធីកំណត់ពេល
"Start timer: ""{0}""","ចាប់ផ្ដើមកម្មវិធីកំណត់ពេល: ""{0}"""
"Stop current & start: ""{0}""","បញ្ឈប់បច្ចុប្បន្ន និងចាប់ផ្ដើម: ""{0}"""
Started yesterday,បានចាប់ផ្ដើមម្សិលមិញ
Sun,អាទិត្យ
Sync all unsynced entries,ធ្វើសមកាលកម្មការបញ្ចូលដែលមិនទាន់ធ្វើសមកាលកម្មទាំងអស់
Sync billable entries only,ធ្វើសមកាលកម្មតែការបញ្ចូលអាចវិក្កយបត្រ
