source,translation
"Billed as {0}","Tính phí theo {0}"
"exact — rounding skipped","chính xác — bỏ qua làm tròn"
"Use exact","Dùng chính xác"
"Apply rounding","Áp dụng làm tròn"
Exact,Chính xác
Billed,Đã tính phí
"* Rounded up to nearest increment","* Làm tròn lên đơn vị gần nhất"
billable,tính phí được
non-billable,không tính phí
internal,nội bộ
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,đã dừng
running,đang chạy
paused,tạm dừng
"Add a note...","Thêm ghi chú..."
"Add entry for yesterday","Thêm mục cho hôm qua"
"Add your first entry","Thêm mục đầu tiên"
Archive,Lưu trữ
"Auto-stop Timer After","Tự động dừng bộ đếm sau"
Billable,Tính Phí Được
"Billable {0}","Tính Phí Được {0}"
Cancel,Hủy
"Cannot delete tag — {0} entries use it.","Không thể xóa nhãn — {0} mục đang sử dụng."
Category,Danh mục
Client,Khách hàng
Color,Màu sắc
"Connection Failed","Kết nối thất bại"
"Connection OK","Kết nối thành công"
"Custom…","Tùy chỉnh…"
Daily,Hằng ngày
"Daily view","Xem theo ngày"
"Date range","Khoảng thời gian"
days,ngày
"Default Entry Type","Loại mục mặc định"
"Default Rate","Đơn giá mặc định"
"Default activity type","Loại hoạt động mặc định"
Delete,Xóa
Description,Mô tả
Dismiss,Bỏ qua
"Do you want to sync all unsynced time entries to ERPNext now?","Bạn có muốn đồng bộ tất cả các mục thời gian chưa đồng bộ sang ERPNext ngay bây giờ không?"
Duplicate,Nhân bản
Duration,Thời lượng
Edit,Sửa
"Enable ERPNext bridge","Bật cầu nối ERPNext"
"End time","Thời gian kết thúc"
"Entries forwarded","Đã chuyển tiếp mục"
"Entries older than {0} days are locked. Contact your administrator.","Các mục cũ hơn {0} ngày đã bị khóa. Liên hệ quản trị viên."
"ERPNext Bridge","Cầu nối ERPNext"
"ERPNext is not installed on this site.","ERPNext chưa được cài đặt trên trang này."
"ERPNext is reachable and Timesheet access is confirmed.","Đã kết nối ERPNext và xác nhận quyền truy cập Bảng chấm công."
"ERPNext site URL","URL trang ERPNext"
"ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.","Bảng chấm công ERPNext {0} cho {1} đã gửi — chặn đồng bộ lại."
"ERPNext Timesheet is submitted — re-sync blocked","Bảng chấm công ERPNext đã gửi — chặn đồng bộ lại"
"Est. {0}","Ước tính {0}"
"Est. amount","Ước tính số tiền"
"Every 6 hours","Mỗi 6 giờ"
"All time","Tất cả thời gian"
"This year","Năm nay"
"Last year","Năm ngoái"
"Download CSV","Tải CSV"
"Export my data","Xuất dữ liệu của tôi"
"Download all your time entries as CSV.","Tải tất cả các mục thời gian dưới dạng CSV."
"Export CSV","Xuất CSV"
"Export successful","Xuất thành công"
"Failed to forward entries: {0}","Chuyển tiếp mục thất bại: {0}"
"Watch Settings","Cài đặt Watch"
"Watch Tag","Nhãn Watch"
"Watch Entry","Mục Watch"
"Watch Entry Tag","Nhãn Mục Watch"
"Watch Timer","Bộ đếm Watch"
"Forwarded {0} to {1}","Đã chuyển tiếp {0} đến {1}"
From,Từ
General,Chung
Hourly,Hằng giờ
hours,giờ
