source,translation
Billed as {0},{0} olarak kaydedildi
exact — rounding skipped,tam — yuvarlama atlandı
Use exact,Tam kullan
Apply rounding,Yuvarlama uygula
Exact,Tam
Billed,Kaydedildi
* Rounded up to nearest increment,* En yakın artışa yuvarlandı
billable,kaydedilebilir
non-billable,kaydedilemez
internal,dahili
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,durduruldu
running,çalışıyor
paused,duraklatıldı
Add a note...,Not ekle...
Add entry for yesterday,Dün için kayıt ekle
Add your first entry,İlk kaydınızı ekleyin
Archive,Arşivle
Auto-stop Timer After,Sayacı otomatik durdur (sonra)
Billable,Kaydedilebilir
Billable {0},Kaydedilebilir {0}
Cancel,İptal
Cannot delete tag — {0} entries use it.,Etiket silinemez — {0} kayıt kullanıyor.
Category,Kategori
Client,Müşteri
Color,Renk
Connection Failed,Bağlantı başarısız
Connection OK,Bağlantı başarılı
Custom…,Özel…
Daily,Günlük
Daily view,Günlük görünüm
Date range,Tarih aralığı
days,gün
Default Entry Type,Varsayılan kayıt türü
Default Rate,Varsayılan saat ücreti
Default activity type,Varsayılan etkinlik türü
Delete,Sil
Description,Açıklama
Dismiss,Kapat
Do you want to sync all unsynced time entries to ERPNext now?,Tüm senkronize edilmemiş zaman kayıtlarını şimdi ERPNext'e senkronize etmek istiyor musunuz?
Duplicate,Kopyala
Duration,Süre
Edit,Düzenle
Enable ERPNext bridge,ERPNext köprüsünü etkinleştir
End time,Bitiş zamanı
Entries forwarded,Kayıtlar iletildi
Entries older than {0} days are locked. Contact your administrator.,{0} günden eski kayıtlar kilitlidir. Yöneticinizle iletişime geçin.
ERPNext Bridge,ERPNext köprüsü
ERPNext is not installed on this site.,ERPNext bu sitede kurulu değil.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext erişilebilir ve zaman çizelgesi erişimi onaylandı.
ERPNext site URL,ERPNext site URL'si
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext zaman çizelgesi {0} ({1}) gönderildi — yeniden senkronizasyon engellendi.
ERPNext Timesheet is submitted — re-sync blocked,ERPNext zaman çizelgesi gönderildi — yeniden senkronizasyon engellendi
Est. {0},Tah. {0}
Est. amount,Tah. tutar
Every 6 hours,Her 6 saatte
All time,Tüm zamanlar
This year,Bu yıl
Last year,Geçen yıl
Download CSV,CSV indir
Export my data,Verilerimi dışa aktar
Download all your time entries as CSV.,Tüm zaman kayıtlarınızı CSV olarak indirin.
Export CSV,CSV dışa aktar
Export successful,Dışa aktarma başarılı
Failed to forward entries: {0},Kayıtlar iletilemedi: {0}
Watch Settings,Watch ayarları
Watch Tag,Watch etiket
Watch Entry,Watch kayıt
Watch Entry Tag,Watch kayıt etiketi
Watch Timer,Watch sayaç
Forwarded {0} to {1},{0} şuraya iletildi: {1}
From,Başlangıç
General,Genel
Hourly,Saatlik
hours,saat
Hide weekends,Hafta sonlarını gizle
Internal,Dahili
Internal / overhead,Dahili / genel gider
Last bulk sync,Son toplu senkronizasyon
Last month,Geçen ay
Last sync error,Son senkronizasyon hatası
Last week,Geçen hafta
Less,Daha az
Lock Entries Older Than,Şundan eski kayıtları kilitle
Manual,Manuel
Map project tags,Proje etiketlerini eşle
Merge,Birleştir
Merge {0} into:,{0} şuna birleştir:
Mon,Pzt
More,Daha fazla
Navigate,Gezin
New Tag,Yeni etiket
No entries for {0},{0} için kayıt yok
No entries yet,Henüz kayıt yok
No tags yet,Henüz etiket yok
No timer is running,Çalışan sayaç yok
Non-billable,Kaydedilemez
(no description),(açıklama yok)
(not billed),(kaydedilmedi)
Nothing logged yesterday ({0}),Dün hiçbir şey kaydedilmedi ({0})
Open prepare summary,Hazırlık özetini aç
Open settings,Ayarları aç
Open tag management,Etiket yönetimini aç
Open today's view,Bugünün görünümünü aç
